source,channel,title,views,likes,comments,published_at,duration,url,video_id
channel,Housecall Pro,From Posts to Profits: Using Social Media to Grow Your Business,60,0,0,2026-06-12,PT39M19S,https://youtube.com/watch?v=EorK5ZMy3m8,EorK5ZMy3m8
channel,Housecall Pro,The Next Generation of the Trades: 40 Under 40 and Scholarship Reveal,27,1,1,2026-06-12,PT10M,https://youtube.com/watch?v=j-CtUOSIWJM,j-CtUOSIWJM
channel,Housecall Pro,How to Organize Customer Records & History | Housecall Pro Customer Profiles,257,16,1,2026-06-11,PT6M22S,https://youtube.com/watch?v=D2C60RxjQW0,D2C60RxjQW0
channel,Housecall Pro,Why Your Website Isn’t Getting Jobs (And How to Fix It Fast),296,6,1,2026-06-01,PT6M35S,https://youtube.com/watch?v=69N5B8pjkN0,69N5B8pjkN0
channel,Housecall Pro,How to Schedule Jobs & Manage Your Calendar | Housecall Pro Tutorial,957,22,1,2026-05-19,PT8M41S,https://youtube.com/watch?v=0e_1rt27inY,0e_1rt27inY
channel,Housecall Pro,Pro Power Hour: Estimates Deep Dive,488,4,1,2026-05-12,PT43M59S,https://youtube.com/watch?v=fQRoQzOG1RM,fQRoQzOG1RM
channel,Housecall Pro,AI Accelerator Week | Reporting and Advanced Workflows,117,1,0,2026-05-11,PT1H7M45S,https://youtube.com/watch?v=_D0v4byqQlQ,_D0v4byqQlQ
channel,Housecall Pro,AI Accelerator Week | Get More Jobs,106,1,0,2026-05-11,PT1H56S,https://youtube.com/watch?v=gw_peRWURAg,gw_peRWURAg
channel,Housecall Pro,How to Get More Reviews Automatically | Housecall Pro Review Management Guide,365,7,1,2026-05-08,PT4M25S,https://youtube.com/watch?v=d4c8AhQtyHA,d4c8AhQtyHA
channel,Housecall Pro,Pro Power Hour: Dispatching and April Platform Updates,293,4,0,2026-05-05,PT31M23S,https://youtube.com/watch?v=yi6PI8shnx4,yi6PI8shnx4
channel,Housecall Pro,Pro Power Hour: Job Inbox,222,1,0,2026-04-30,PT51M46S,https://youtube.com/watch?v=iRYMFAtnBgU,iRYMFAtnBgU
channel,Jobber,The BEST Advice from Real $1M+ Business Owners,42,1,2,2026-06-30,PT4M46S,https://youtube.com/watch?v=yCfzF9cjry4,yCfzF9cjry4
channel,Jobber,What It Really Takes to Build a $1M Business,243,4,2,2026-06-23,PT17M44S,https://youtube.com/watch?v=B4ccIM0CwE0,B4ccIM0CwE0
channel,Jobber,The New Local SEO: How to Get Found in AI Search,186,10,0,2026-05-21,PT19M42S,https://youtube.com/watch?v=nfne3O9pK8U,nfne3O9pK8U
channel,Jobber,What Skipping Time Tracking Is Really Costing You,682,10,0,2026-01-06,PT27M59S,https://youtube.com/watch?v=RJj3rIjClXw,RJj3rIjClXw
channel,ServiceTitan,Unlock Revenue Opportunities With ServiceTitan Atlas and Marketing Pro | Podcast Ep. 94,86,3,0,2026-06-25,PT25M39S,https://youtube.com/watch?v=6h6hQyaEBNw,6h6hQyaEBNw
channel,ServiceTitan,Release #78  ServiceTitan Release Notes Overview Summer 2026,598,26,4,2026-06-24,PT18M25S,https://youtube.com/watch?v=Krz6VS0Y8-o,Krz6VS0Y8-o
channel,ServiceTitan,Psychological Safety in Leadership: How Trust Transformed an Entire Company | Ep. 92,60,1,0,2026-06-11,PT24M9S,https://youtube.com/watch?v=qvHRdXZQnSw,qvHRdXZQnSw
channel,Workiz,Automatically reconciling credit card payouts with QuickBooks Online,168,1,0,2026-03-20,PT3M28S,https://youtube.com/watch?v=0DCDQbdfWgA,0DCDQbdfWgA
channel,Workiz,How to Get SO Many Customers with AI & CRM: The 2026 Growth Blueprint,99,1,2,2026-03-20,PT52M48S,https://youtube.com/watch?v=FlSouL_lYzY,FlSouL_lYzY
channel,Workiz,Top Ways How to Scale a Home Service Business: From Technician to CEO | Workiz,105,0,0,2026-03-09,PT48M11S,https://youtube.com/watch?v=zHOP6dgjjPM,zHOP6dgjjPM
channel,Workiz,Close bigger jobs: How to master consumer financing & beat price haggling,59,0,0,2026-02-12,PT57M44S,https://youtube.com/watch?v=n_U54uFK8nk,n_U54uFK8nk
channel,Workiz,"AI, FSM, and marketing for replacement sales",148,0,0,2025-12-11,PT1H37S,https://youtube.com/watch?v=-4vzSeazkuc,-4vzSeazkuc
channel,Workiz,Getting your ducks in a row: How to legally protect and grow your home-service business,166,11,0,2025-11-13,PT40M8S,https://youtube.com/watch?v=YjPYQWvEbuM,YjPYQWvEbuM
channel,QuoteIQ,"QuoteIQ Estimating & Invoicing Walkthrough: Instant Payouts, AI Quotes & Customer Self-Booking",271,10,13,2026-06-19,PT8M1S,https://youtube.com/watch?v=Z_X5am48Xfk,Z_X5am48Xfk
channel,QuoteIQ,QuoteIQ Setup Walkthrough 2026: How to Set Up Your Field Service CRM — Full Tutorial for Contractors,161,8,3,2026-06-18,PT7M37S,https://youtube.com/watch?v=rada9h9mDj8,rada9h9mDj8
channel,QuoteIQ,QuoteIQ Cam Walkthrough - CompanyCam Alternative,273,18,4,2026-06-12,PT15M53S,https://youtube.com/watch?v=hFAimxN-jcA,hFAimxN-jcA
